(135, 213)
(111, 213)
(94, 217)
(83, 224)
(93, 216)
(122, 204)
(110, 200)
(91, 199)
(79, 197)
(60, 202)
(60, 200)
(73, 192)
(101, 180)
(89, 172)
(75, 162)
(52, 142)
(59, 143)
(88, 151)
(108, 153)
(85, 153)
(60, 124)
(70, 131)
(98, 147)
(108, 150)
(97, 144)
(80, 127)
(55, 96)
(67, 101)
(74, 104)
(102, 109)
(117, 109)
(126, 104)
(118, 107)
(99, 108)
(85, 97)
(76, 83)
(90, 92)
(104, 98)
(119, 100)
(108, 97)
(92, 91)
(153, 79)
(156, 74)
(153, 79)
(139, 81)
(113, 61)
(99, 45)
(96, 39)
(114, 54)
(129, 60)
(145, 65)
(129, 47)
(121, 34)
(114, 17)
(109, 2)
(117, 8)
(132, 20)
(152, 29)
(162, 33)
(179, 35)
(186, 36)
(174, 28)
(163, 20)
(158, 10)
(154, 3)
(162, 4)
(168, 9)
(183, 16)
(196, 22)
(209, 25)
(222, 28)
(229, 28)
(224, 18)
(217, 12)
(211, 4)
(218, 4)
(223, 10)
(233, 14)
(242, 20)
(249, 31)
(251, 33)
(242, 22)
(239, 13)
(236, 4)
(234, 1)
(246, 3)
(261, 12)
(269, 21)
(274, 28)
(260, 12)
(254, 0)
(262, 3)
(288, 11)
(304, 17)
(320, 24)
(329, 33)
(311, 15)
(304, 2)
(314, 2)
(328, 9)
(335, 21)
(348, 29)
(355, 40)
(369, 52)
(363, 28)
(357, 1)
(380, 21)
(391, 42)
(402, 69)
(404, 87)
(401, 71)
(418, 10)
(417, 1)
(423, 18)
(435, 61)
(438, 82)
(435, 107)
(429, 124)
(433, 108)
(454, 84)
(464, 59)
(465, 69)
(461, 90)
(457, 107)
(449, 126)
(439, 143)
(435, 148)
(460, 132)
(487, 116)
(493, 109)
(484, 128)
(474, 141)
(469, 147)
(450, 162)
(476, 136)
(458, 163)
(448, 173)
(492, 146)
(489, 156)
(476, 167)
(457, 183)
(474, 191)
(497, 210)
(488, 205)
(475, 204)
(441, 204)
(441, 207)
(464, 214)
(483, 228)
(458, 219)
(431, 215)
(422, 215)
(324, 225)
(273, 226)
(193, 220)
(138, 212)
