(196, 220)
(295, 232)
(304, 242)
(295, 262)
(294, 284)
(296, 284)
(336, 238)
(407, 231)
(406, 248)
(390, 264)
(411, 257)
(391, 281)
(406, 274)
(403, 279)
(379, 304)
(390, 300)
(380, 311)
(332, 336)
(302, 315)
(297, 295)
(295, 290)
(291, 294)
(291, 309)
(255, 331)
(249, 314)
(279, 296)
(265, 301)
(275, 285)
(278, 277)
(275, 265)
(260, 252)
(267, 257)
(265, 258)
(253, 259)
(227, 250)
(231, 247)
(242, 249)
(222, 241)
(196, 233)
(189, 230)
(194, 219)
(291, 225)
(424, 215)
(436, 212)
(356, 222)
(293, 226)
(195, 222)
(146, 212)
(142, 214)
(151, 247)
(171, 270)
(171, 272)
(159, 263)
(158, 277)
(169, 287)
(162, 282)
(161, 290)
(253, 334)
(294, 310)
(291, 351)
(295, 368)
(306, 367)
(298, 367)
(304, 369)
(297, 369)
(306, 371)
(294, 387)
(275, 368)
(281, 368)
(288, 369)
(281, 369)
(288, 369)
(277, 370)
(262, 358)
(258, 343)
(247, 345)
(232, 378)
(261, 439)
